customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
0001-FGHJ,Male,0,Yes,No,1,Yes,Fiber optic,Month-to-month,85.5,85.5,Yes
0002-ABCD,Female,0,No,No,34,Yes,DSL,One year,56.9,1934.6,No
0003-WERT,Male,1,Yes,No,2,Yes,Fiber optic,Month-to-month,90.2,180.4,Yes
0004-PLMN,Female,0,Yes,Yes,45,Yes,DSL,Two year,42.3,1903.5,No
0005-XYZA,Male,0,No,No,10,Yes,Fiber optic,Month-to-month,75.4,754.0,Yes
0006-HJKL,Female,1,Yes,Yes,60,Yes,DSL,Two year,65.2,3912.0,No
0007-QWER,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,95.5,477.5,Yes
0008-ASDF,Female,0,Yes,Yes,28,Yes,DSL,One year,50.1,1402.8,No
0009-ZXCV,Male,1,No,No,3,Yes,Fiber optic,Month-to-month,88.0,264.0,Yes
0010-TYUI,Female,0,Yes,Yes,72,Yes,DSL,Two year,70.5,5076.0,No
0011-GHJK,Male,0,No,No,8,Yes,Fiber optic,Month-to-month,80.6,644.8,Yes
0012-BNMK,Female,1,Yes,No,55,Yes,DSL,Two year,60.4,3322.0,No
0013-LOPI,Male,0,No,No,6,Yes,Fiber optic,Month-to-month,92.3,553.8,Yes
0014-MNBV,Female,0,Yes,Yes,40,Yes,DSL,One year,48.5,1940.0,No
0015-KJHG,Male,1,No,No,4,Yes,Fiber optic,Month-to-month,85.0,340.0,Yes
0016-VCXZ,Female,0,Yes,Yes,65,Yes,DSL,Two year,72.1,4686.5,No
0017-POIU,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,89.9,629.3,Yes
0018-LKJH,Female,1,Yes,No,50,Yes,DSL,One year,58.7,2935.0,No
0019-QAZX,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,93.2,838.8,Yes
0020-WSXC,Female,0,Yes,Yes,70,Yes,DSL,Two year,68.9,4823.0,No
